Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ExecutionGroupMinskyMachine, IsCom: True, NextExecC: 0, 
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: False, NextExecC: 1, OpType: Decrement, CType: First, Val: 0
Exec: ApplyCounterOperationExecutableMinskyMachine, IsCom: True, NextExecC: 0, OpType: Increment, CType: Second, Val: 0
